created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Tue Mar 07 20:28:38 +0000 2023,1633203021617455104,1633203021617455104,"Mistake Found on new sensation of Al/Alice Capone” Friday from Athletic Bilbao, despite scores of",False,"[0, 97]","<a href=""http://www.twelvebot.xyz"" rel=""nofollow"">Twelvebot</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,721856411290968064,721856411290968064,twelve,twelvebot,The Internets,Randomest account on twitter! The coolest bot in town! Why be first when you can be twelfth?! Don't take my tweets seriously. #twelvebot,https://t.co/OTrlT6TbUD,"[{'url': 'https://t.co/OTrlT6TbUD', 'expanded_url': 'http://twelvebot.xyz', 'display_url': 'twelvebot.xyz', 'indices': [0, 23]}]",[],False,194,2,44,Mon Apr 18 00:22:34 +0000 2016,29,,,False,False,654833,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/721889571290501120/Wgls8o9__normal.jpg,https://pbs.twimg.com/profile_images/721889571290501120/Wgls8o9__normal.jpg,https://pbs.twimg.com/profile_banners/721856411290968064/1460946357,B51414,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:02:44 +0000 2023,1633181404514353152,1633181404514353152,"New Overtime AMM position bought
Athletic Bilbao - Barcelona
Amount: 221.14
Paid: 99.999 sUSD
Position: Barcelona
Potential profit: 121 sUSD (121%)",False,"[0, 147]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]",[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 18:58:44 +0000 2023,1633180396707024898,1633180396707024898,"New Overtime Arbitrum AMM position bought
Athletic Bilbao - Barcelona
Amount: 220.6
Paid: 100.001 sUSD
Position: Barcelona
Potential profit: 121 sUSD (121%)",False,"[0, 156]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]",[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 16:25:04 +0000 2023,1633141724779257859,1633141724779257859,"🚨🎖️| Pedri will train with the team at Saturday and try it out,he is NOT ruled out for the match against Athletic Bilbao at San Mames,but he presence continues to be very complicated,Pedri  has asked to try it.🇪🇸 @fansjavimiguel #FCB https://t.co/GnJ1yLlMKg",False,"[0, 233]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1624162931943301121,1624162931943301121,All About Barca,AllAboutBarcaa,,cover everything about Barca,,,[],False,2,40,0,Fri Feb 10 21:46:40 +0000 2023,0,,,False,False,93,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630172865180966916/fPzfZRjy_normal.jpg,https://pbs.twimg.com/profile_images/1630172865180966916/fPzfZRjy_normal.jpg,https://pbs.twimg.com/profile_banners/1624162931943301121/1676154087,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:54:25 +0000 2023,1633134014042107904,1633134014042107904,Robert Lewandowski will be back for the match against Athletic Bilbao. He has fully recovered from his hamstring strain. [via @fansjavimiguel],False,"[0, 142]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1349298225220521985,1349298225220521985,𝐙𝐡𝐢𝐯𝐨𝐡𝐞𝐥𝐝 𝐕𝐨𝐥𝐝𝐢𝐠𝐨𝐚𝐝 ,ZhivoaVoldigoad,,"Being the Supreme Lord means being myself. If my subordinates are threatened, I shall retaliate with destruction, It doesn't matter if I'm up against fate.",https://t.co/20C6WHM8YV,"[{'url': 'https://t.co/20C6WHM8YV', 'expanded_url': 'https://bili.im/PcuxcDl', 'display_url': 'bili.im/PcuxcDl', 'indices': [0, 23]}]",[],False,124,93,3,Wed Jan 13 10:12:36 +0000 2021,6718,,,True,False,10206,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1619622953238564871/pYyWsCYv_normal.jpg,https://pbs.twimg.com/profile_images/1619622953238564871/pYyWsCYv_normal.jpg,https://pbs.twimg.com/profile_banners/1349298225220521985/1677654654,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 13:00:21 +0000 2023,1633090205967056898,1633090205967056898,"🇪🇸🔙🔵⚪ Atletico Madrid were founded as Athletic Club Sucursal de Madrid in 1903 by three Basque students living in Madrid. They saw them as a youth branch of their childhood team, Athletic Bilbao. https://t.co/lxwT17deVi",False,"[0, 195]","<a href=""http://www.footyheadlines.com"" rel=""nofollow"">Footy Headlines auto-tweet</a>",1.6329942561502495e+18,1632994256150249472,1304451457.0,1304451457,Footy_Headlines,,,,,False,2,46,False,False,en,en,recent,1304451457,1304451457,Footy Headlines,Footy_Headlines,,Official Footy Headlines Twitter Account. New football kits and the latest boot releases. Be the first to know them.,https://t.co/1GBPfdmp02,"[{'url': 'https://t.co/1GBPfdmp02', 'expanded_url': 'http://www.footyheadlines.com', 'display_url': 'footyheadlines.com', 'indices': [0, 23]}]",[],False,157740,158,685,Tue Mar 26 15:09:37 +0000 2013,1319,,,False,False,29392,,False,False,False,E8E8E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1624848109409914880/Q4iirlEn_normal.jpg,https://pbs.twimg.com/profile_images/1624848109409914880/Q4iirlEn_normal.jpg,https://pbs.twimg.com/profile_banners/1304451457/1676228757,FF881F,000000,DDEEF6,333333,False,True,False,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 12:57:36 +0000 2023,1633089514892673024,1633089514892673024,"🚨 Revelo | Today, Real Madrid, Barcelona, and Athletic Bilbao return to court to sue La Liga for the third time, after the lawsuit was rejected twice

🛑 They want to temporarily disrupt the LaLiga agreement with the CVC Global Investment Fund. #LALIGAGATE https://t.co/YyPvAqIVmC",False,"[0, 255]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,0,False,False,en,en,recent,974499031983439872,974499031983439872,Mr. Muñoz,FreddyMoonYoz,Santiago Bernabéu ,"I'm Honest & Will Tell You The Truth as Best as I Can Interpret. I Believe in Liberty & Justice For All. I 🤍 Real Madrid, My Father Taught Me to. I 🤍 GIFs",,,[],False,1067,1980,5,Fri Mar 16 04:14:09 +0000 2018,95447,,,False,False,49657,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629665959769169921/sGlkZNlJ_normal.jpg,https://pbs.twimg.com/profile_images/1629665959769169921/sGlkZNlJ_normal.jpg,https://pbs.twimg.com/profile_banners/974499031983439872/1677554070,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,1.63308880154633e+18,1633088801546330113,Tue Mar 07 12:54:46 +0000 2023,1.63308880154633e+18,1633088801546330113,"🚨 Revelo | يعود اليوم ريال مدريد وبرشلونة وأتليتك بيلباو إلى المحكمة لمقاضاة الليغا للمرة الثالثة بعد رفض الدعوى مرتين

🛑 يريدون تعطيل اتفاقية الليغا مع صندوق الاستثمار العالمي CVC مؤقتًا.

- وافق 37 نادي على الاتفاقية بينما رفضت 5 أندية فقط من أصل 42 نادي https://t.co/I1AtkOwHfS",False,"[0, 256]",en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,735563586.0,735563586,BlancosGlobal,Blancos_Global,الوطن العربي ,حساب مختص بنادي القرن ريال مدريد .. نضعك في قلب البرنابيو 🥇، الحساب برعاية متجر روبي للعطور @rubyperfumes ومتجر بلانكوس ماركت @blancosmarket,https://t.co/xP7oFqDDN9,"[{'url': 'https://t.co/xP7oFqDDN9', 'expanded_url': 'https://www.instagram.com/invites/contact/?i=1sya7cmqjhveq&utm_content=ot7v06z', 'display_url': 'instagram.com/invites/contac…', 'indices': [0, 23]}]",[],False,331717.0,174.0,902.0,Fri Aug 03 21:23:21 +0000 2012,38.0,,,True,False,119551.0,,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1605651519692541964/KaOsmj-t_normal.jpg,https://pbs.twimg.com/profile_images/1605651519692541964/KaOsmj-t_normal.jpg,https://pbs.twimg.com/profile_banners/735563586/1675614663,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,False,2.0,63.0,False,False,False,ar,,,,,,,,,,,
Tue Mar 07 11:55:34 +0000 2023,1633073902514589696,1633073902514589696,"@Yawnick6 It's not had to ask for explanation.
Athletic Bilbao beat your ass in the semi finals in 2012",False,"[10, 103]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6330726887920517e+18,1633072688792051714,9.870977756062024e+17,987097775606202368,Yawnick6,,,,,False,0,0,False,False,en,en,recent,1196025115298926592,1196025115298926592,kabutey,_kbutey,Teshie,"Football Lover || 💜❤️ culer || Na$ & Paedae || Petroleum Student, KNUST",,,[],False,1078,1052,0,Sun Nov 17 11:20:20 +0000 2019,24765,,,True,False,3254,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1580226581380956161/ByeGPYl4_normal.jpg,https://pbs.twimg.com/profile_images/1580226581380956161/ByeGPYl4_normal.jpg,https://pbs.twimg.com/profile_banners/1196025115298926592/1636833314,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 11:45:22 +0000 2023,1633071336846249986,1633071336846249986,@Yawnick6 You couldn't beat Athletic Bilbao. WTF,False,"[10, 48]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633071106478293e+18,1633071106478292994,9.870977756062024e+17,987097775606202368,Yawnick6,,,,,False,0,0,False,False,en,en,recent,1196025115298926592,1196025115298926592,kabutey,_kbutey,Teshie,"Football Lover || 💜❤️ culer || Na$ & Paedae || Petroleum Student, KNUST",,,[],False,1078,1052,0,Sun Nov 17 11:20:20 +0000 2019,24765,,,True,False,3254,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1580226581380956161/ByeGPYl4_normal.jpg,https://pbs.twimg.com/profile_images/1580226581380956161/ByeGPYl4_normal.jpg,https://pbs.twimg.com/profile_banners/1196025115298926592/1636833314,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 10:24:36 +0000 2023,1633051012381528064,1633051012381528064,"New Overtime Arbitrum AMM position bought
Athletic Bilbao - Barcelona
Amount: 9.886418418935275
Paid: 7.191 sUSD
Position: X2
Potential profit: 3 sUSD (37%)",False,"[0, 156]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]",[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
