created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Wed Mar 08 03:01:17 +0000 2023,1633301835485270016,1633301835485270016,@Gallardo_Mati Wen JM? Julin morning @rc_julin_lens,False,"[15, 51]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633101447507202e+18,1633101447507202050,1002898254.0,1002898254,Gallardo_Mati,,,,,False,1,1,False,False,en,en,recent,355952288,355952288,Dr. Semilla // 00brujula.lens,00brujula,"San Javier, Argentina","#ReFi en Fork DAO @forkdaoes // #DrSemilla esquejando mundos, seguime en Telegram",https://t.co/Spg2ZkQx0V,"[{'url': 'https://t.co/Spg2ZkQx0V', 'expanded_url': 'https://objkt.com/profile/tz1WW11qJoM7yaQWFS79eNG9xagoB4TN1TsN/created', 'display_url': 'objkt.com/profile/tz1WW1…', 'indices': [0, 23]}]",[],False,738,633,7,Tue Aug 16 03:52:11 +0000 2011,2867,,,True,False,2469,,False,False,False,94D487,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1530541509098889218/BOc_4P3q_normal.jpg,https://pbs.twimg.com/profile_images/1530541509098889218/BOc_4P3q_normal.jpg,https://pbs.twimg.com/profile_banners/355952288/1665295127,4A913C,000000,000000,000000,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:22:40 +0000 2023,1633261918361358337,1633261918361358337,"Caddx Ratel 1/1.8'' Starlight HDR OSD 1200TVL NTSC/PAL 16:9/4:3 Switchable 1.66mm/2.1mm Lens FPV camera For RC Drone - 2.1mm

 $38.99

 https://t.co/OWUj9RpDbU https://t.co/7JzO2VWdMt",False,"[0, 159]","<a href=""http://onollo.com/"" rel=""nofollow"">Onollo Software</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1331746387696914433,1331746387696914433,Egaadiya Online,EgaadiyaOnline,Maldives,Egaadiya Online is ecommerce platform which is run under the umbrella of akeia  Technology,https://t.co/HbgkofcFu3,"[{'url': 'https://t.co/HbgkofcFu3', 'expanded_url': 'https://egaadiyaonline.com', 'display_url': 'egaadiyaonline.com', 'indices': [0, 23]}]",[],False,100,13,0,Wed Nov 25 23:47:56 +0000 2020,5,,,False,False,2000,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1331747103425536001/JagLDrhA_normal.jpg,https://pbs.twimg.com/profile_images/1331747103425536001/JagLDrhA_normal.jpg,https://pbs.twimg.com/profile_banners/1331746387696914433/1606348447,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:23:33 +0000 2023,1633247042834137089,1633247042834137089,@Ligue1_ENG Brice Samba naturellement. Now following RC Lens for some reason 🤔. Allez les sang et or!,False,"[12, 101]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6330954425599058e+18,1633095442559905792,228688180.0,228688180,Ligue1_ENG,,,,,False,0,0,False,False,en,en,recent,1051786700211580929,1051786700211580929,Mr Wangernum,MrWangernum,,"#ToriesOut
Nuff said.",,,[],False,8,99,0,Mon Oct 15 10:47:45 +0000 2018,3961,,,False,False,1001,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1500984075166924803/pzWocQDl_normal.jpg,https://pbs.twimg.com/profile_images/1500984075166924803/pzWocQDl_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:00:56 +0000 2023,1633241349305819136,1633241349305819136,"Check out this product 😍 HD dual-lens four-axis RC Drone 😍 
by technorac starting at $62.53. 
Shop now 👉👉 https://t.co/CghgXY97jG https://t.co/ADwI2q5bI5",False,"[0, 129]","<a href=""https://www.mykapusta.com/post-studio"" rel=""nofollow"">Post Studio</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1234486514748461056,1234486514748461056,Techno Rac,technojunkir66,"Panama City , Florida","TechnoRac is world Top Premier Gadget and Tech Accessories Brand, selling high-quality equipment at affordable price tags. We have a vast collection.",https://t.co/La9sonVjCN,"[{'url': 'https://t.co/La9sonVjCN', 'expanded_url': 'http://technorac.store', 'display_url': 'technorac.store', 'indices': [0, 23]}]",[],False,12,30,0,Mon Mar 02 14:31:51 +0000 2020,7,,,False,False,11533,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1450558636703444993/0Ynr977f_normal.jpg,https://pbs.twimg.com/profile_images/1450558636703444993/0Ynr977f_normal.jpg,https://pbs.twimg.com/profile_banners/1234486514748461056/1634675105,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:54:41 +0000 2023,1633194476859449349,1633194476859449349,"SPECIAL STAR 🌟

He has followed me through my journey from Udinese to RC Lens. A player of his calibre is destined to be GREAT. A wise man once said ‘if you know your star is red, take a golden eraser and stain it’. 

🌟ENDRICK🌟

A player with the world at his feet.
StarBoy. https://t.co/ECQnAcsLOQ",False,"[0, 274]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,2,False,False,en,en,recent,1558202045055770625,1558202045055770625,JayFM22,JayFM22,,🎮 Football Manager Gamer. Football Manager Mobile Expert(little). Follow me on YouTube: JayFM22,,,[],False,174,3,1,Fri Aug 12 21:22:14 +0000 2022,40,,,False,False,674,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1590776285185413131/ho4o5w4j_normal.jpg,https://pbs.twimg.com/profile_images/1590776285185413131/ho4o5w4j_normal.jpg,https://pbs.twimg.com/profile_banners/1558202045055770625/1668105668,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 18:23:22 +0000 2023,1633171498369204224,1633171498369204224,@TomasMika_music @rc_julin_lens Gm Hustler!,False,"[32, 43]","<a href=""https://twitter.com/home"" rel=""nofollow"">Gmweb3</a>",1.6330443125050819e+18,1633044312505081856,1.009978668834345e+18,1009978668834344960,TomasMika_music,,,,,False,1,2,False,False,en,en,recent,1335585836474146816,1335585836474146816,Yojit Pahwa,yojit2016,,"crypto and economics
i am 15
pro elon",,,[],False,169,892,3,Sun Dec 06 14:04:24 +0000 2020,29481,,,False,False,7388,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1601904198710284288/vKMZcmum_normal.png,https://pbs.twimg.com/profile_images/1601904198710284288/vKMZcmum_normal.png,https://pbs.twimg.com/profile_banners/1335585836474146816/1666156732,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 13:18:42 +0000 2023,1633094826898993153,1633094826898993153,@PSGhub You are playing Bayern not rc lens from French farmer league. Bayern brought you the biggest defeat in your oil club history. Bayern will eat you alive,False,"[8, 159]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6328594835451904e+18,1632859483545190400,1.3446565977007923e+18,1344656597700792327,PSGhub,,,,,False,0,0,False,False,en,en,recent,2359690166,2359690166,mibr,mibr_90,Munich,MIBR,,,[],False,2,24,0,Mon Feb 24 15:47:56 +0000 2014,22,,,False,False,160,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/713088143138938883/slwKR29p_normal.jpg,https://pbs.twimg.com/profile_images/713088143138938883/slwKR29p_normal.jpg,https://pbs.twimg.com/profile_banners/2359690166/1393257242,DD2E44,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 08:49:16 +0000 2023,1633027021595877377,1633027021595877377,"🚨🇮🇷Panathinaikos and RC Lens are monitoring the Kayserispor’s CB, Majid Hosseini whose contract expires this summer with the Turkish side

#Panathinaikos #RCLens #Lens #paofc https://t.co/5a4QgAR6c1",False,"[0, 174]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,3,8,False,False,en,en,recent,1413472701897969665,1413472701897969665,Georgios Sideridis,gsideridiss,,🖋ᴛʜᴇ ᴛʀᴀɴꜱꜰᴇʀ ᴀᴅᴅɪᴄᴛ ᴊᴏᴜʀɴᴀʟɪꜱᴛ 💼gsideridiss@gmail.com 👔📝 @GeeksTransfer @YellowRadioGR,https://t.co/8YbHsGRr8e,"[{'url': 'https://t.co/8YbHsGRr8e', 'expanded_url': 'http://transfergeeks.gr', 'display_url': 'transfergeeks.gr', 'indices': [0, 23]}]",[],False,2018,409,11,Fri Jul 09 12:19:06 +0000 2021,937,,,True,False,2074,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1609304537621307392/iA_w1ecJ_normal.jpg,https://pbs.twimg.com/profile_images/1609304537621307392/iA_w1ecJ_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 06:25:40 +0000 2023,1632990881023250433,1632990881023250433,"@RobbieSlater17 Hi from France Robbie , we didn’t forget you , nice to see you are in good shape .from a  Rc Lens fan 😊",False,"[16, 119]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6329861849548145e+18,1632986184954814464,381917870.0,381917870,RobbieSlater17,,,,,False,0,2,False,False,en,en,recent,120218556,120218556,sebastien dubosclard,dub237,"Montluçon, France","team lens abonné marek ,socio n85180 du Fc Barcelone, fan du csp limoges-Once a year go someplace you've never been before",https://t.co/mVLKuhTE8d,"[{'url': 'https://t.co/mVLKuhTE8d', 'expanded_url': 'https://www.youtube.com/user/sebib237', 'display_url': 'youtube.com/user/sebib237', 'indices': [0, 23]}]",[],False,246,762,13,Fri Mar 05 20:45:21 +0000 2010,77682,,,True,False,10146,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1117520434113712128/JQubKEBA_normal.jpg,https://pbs.twimg.com/profile_images/1117520434113712128/JQubKEBA_normal.jpg,https://pbs.twimg.com/profile_banners/120218556/1552160895,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 23:26:59 +0000 2023,1632885518219505664,1632885518219505664,RC Lens (3) #ultras #france https://t.co/kirZVybbIx,False,"[0, 27]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,2297524969,2297524969,Fanatics of Football,footynews129,,For all your football needs - From Ultras to Transfers!,,,[],False,6418,622,97,Sat Jan 18 08:25:59 +0000 2014,3178,,,True,False,23625,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1604643568303632384/1bGeBwgY_normal.jpg,https://pbs.twimg.com/profile_images/1604643568303632384/1bGeBwgY_normal.jpg,https://pbs.twimg.com/profile_banners/2297524969/1654582781,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
